Sample	Name	Time Desc	Time	Time Unit	Donor	CNhs	Time Course	Time Course Id	Species	Series
13367-143G1	Tracheal epithelial cells, differentiation to ciliated epithelial cells	 000hr	0	mins	 biol_rep1	CNhs13739	Tracheal to ciliated epithelium	Tracheal_to_ciliated_epithelium	Mouse	Activation
13368-143G2	Tracheal epithelial cells, differentiation to ciliated epithelial cells	 000hr	0	mins	 biol_rep2	CNhs13740	Tracheal to ciliated epithelium	Tracheal_to_ciliated_epithelium	Mouse	Activation
13369-143G3	Tracheal epithelial cells, differentiation to ciliated epithelial cells	 000hr	0	mins	 biol_rep3	CNhs13741	Tracheal to ciliated epithelium	Tracheal_to_ciliated_epithelium	Mouse	Activation
3567-170H1	macrophage, TB infection, stimulated BMDM+IFNg(caMph)	 002hr	120	mins	 biol_rep1	CNhs11464	BMM TB activation IFNg	BMM_TB_activation_IFNg	Mouse	Activation
3639-171H1	macrophage, TB infection, stimulated BMDM+IFNg(caMph)	 002hr	120	mins	 biol_rep2	CNhs11539	BMM TB activation IFNg	BMM_TB_activation_IFNg	Mouse	Activation
3714-172B2	macrophage, TB infection, stimulated BMDM+IFNg(caMph)	 002hr	120	mins	 biol_rep3	CNhs11638	BMM TB activation IFNg	BMM_TB_activation_IFNg	Mouse	Activation
3577-170I2	macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb	 002hr	120	mins	 biol_rep1	CNhs11474	BMM TB activation IL13	BMM_TB_activation_IL13	Mouse	Activation
3649-171I2	macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb	 002hr	120	mins	 biol_rep2	CNhs11552	BMM TB activation IL13	BMM_TB_activation_IL13	Mouse	Activation
3724-172C3	macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb	 002hr	120	mins	 biol_rep3	CNhs11644	BMM TB activation IL13	BMM_TB_activation_IL13	Mouse	Activation
3597-170B5	macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb	 002hr	120	mins	 biol_rep1	CNhs11494	BMM TB activation IL4	BMM_TB_activation_IL4	Mouse	Activation
3744-172E5	macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb	 002hr	120	mins	 biol_rep3	CNhs11655	BMM TB activation IL4	BMM_TB_activation_IL4	Mouse	Activation
3587-170A4	macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb	 002hr	120	mins	 biol_rep1	CNhs11484	BMM TB activation IL4-IL13	BMM_TB_activation_IL4-IL13	Mouse	Activation
3659-171A4	macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb	 002hr	120	mins	 biol_rep2	CNhs11562	BMM TB activation IL4-IL13	BMM_TB_activation_IL4-IL13	Mouse	Activation
3734-172D4	macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb	 002hr	120	mins	 biol_rep3	CNhs11650	BMM TB activation IL4-IL13	BMM_TB_activation_IL4-IL13	Mouse	Activation
3568-170I1	macrophage, TB infection, stimulated BMDM+IFNg(caMph)	 004hr	240	mins	 biol_rep1	CNhs11465	BMM TB activation IFNg	BMM_TB_activation_IFNg	Mouse	Activation
3640-171I1	macrophage, TB infection, stimulated BMDM+IFNg(caMph)	 004hr	240	mins	 biol_rep2	CNhs11540	BMM TB activation IFNg	BMM_TB_activation_IFNg	Mouse	Activation
3715-172C2	macrophage, TB infection, stimulated BMDM+IFNg(caMph)	 004hr	240	mins	 biol_rep3	CNhs11639	BMM TB activation IFNg	BMM_TB_activation_IFNg	Mouse	Activation
3578-170A3	macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb	 004hr	240	mins	 biol_rep1	CNhs11475	BMM TB activation IL13	BMM_TB_activation_IL13	Mouse	Activation
3650-171A3	macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb	 004hr	240	mins	 biol_rep2	CNhs11553	BMM TB activation IL13	BMM_TB_activation_IL13	Mouse	Activation
3725-172D3	macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb	 004hr	240	mins	 biol_rep3	CNhs11645	BMM TB activation IL13	BMM_TB_activation_IL13	Mouse	Activation
3598-170C5	macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb	 004hr	240	mins	 biol_rep1	CNhs11495	BMM TB activation IL4	BMM_TB_activation_IL4	Mouse	Activation
3745-172F5	macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb	 004hr	240	mins	 biol_rep3	CNhs14259	BMM TB activation IL4	BMM_TB_activation_IL4	Mouse	Activation
3588-170B4	macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb	 004hr	240	mins	 biol_rep1	CNhs11485	BMM TB activation IL4-IL13	BMM_TB_activation_IL4-IL13	Mouse	Activation
3660-171B4	macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb	 004hr	240	mins	 biol_rep2	CNhs11563	BMM TB activation IL4-IL13	BMM_TB_activation_IL4-IL13	Mouse	Activation
3735-172E4	macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb	 004hr	240	mins	 biol_rep3	CNhs11651	BMM TB activation IL4-IL13	BMM_TB_activation_IL4-IL13	Mouse	Activation
3705-172B1	macrophage, TB infection, non-stimulated BMDM, without Mtb	 004hr	240	mins	 biol_rep3	CNhs11633	BMM TB infection control	BMM_TB_infection_control	Mouse	Activation
13370-143G4	Tracheal epithelial cells, differentiation to ciliated epithelial cells	 004hr	240	mins	 biol_rep1	CNhs13742	Tracheal to ciliated epithelium	Tracheal_to_ciliated_epithelium	Mouse	Activation
13371-143G5	Tracheal epithelial cells, differentiation to ciliated epithelial cells	 004hr	240	mins	 biol_rep2	CNhs13743	Tracheal to ciliated epithelium	Tracheal_to_ciliated_epithelium	Mouse	Activation
13372-143G6	Tracheal epithelial cells, differentiation to ciliated epithelial cells	 004hr	240	mins	 biol_rep3	CNhs13744	Tracheal to ciliated epithelium	Tracheal_to_ciliated_epithelium	Mouse	Activation
3569-170A2	macrophage, TB infection, stimulated BMDM+IFNg(caMph)	 006hr	360	mins	 biol_rep1	CNhs11466	BMM TB activation IFNg	BMM_TB_activation_IFNg	Mouse	Activation
3641-171A2	macrophage, TB infection, stimulated BMDM+IFNg(caMph)	 006hr	360	mins	 biol_rep2	CNhs11541	BMM TB activation IFNg	BMM_TB_activation_IFNg	Mouse	Activation
3716-172D2	macrophage, TB infection, stimulated BMDM+IFNg(caMph)	 006hr	360	mins	 biol_rep3	CNhs11640	BMM TB activation IFNg	BMM_TB_activation_IFNg	Mouse	Activation
3579-170B3	macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb	 006hr	360	mins	 biol_rep1	CNhs11476	BMM TB activation IL13	BMM_TB_activation_IL13	Mouse	Activation
3651-171B3	macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb	 006hr	360	mins	 biol_rep2	CNhs11554	BMM TB activation IL13	BMM_TB_activation_IL13	Mouse	Activation
3726-172E3	macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb	 006hr	360	mins	 biol_rep3	CNhs11646	BMM TB activation IL13	BMM_TB_activation_IL13	Mouse	Activation
3599-170D5	macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb	 006hr	360	mins	 biol_rep1	CNhs11496	BMM TB activation IL4	BMM_TB_activation_IL4	Mouse	Activation
3671-171D5	macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb	 006hr	360	mins	 biol_rep2	CNhs11574	BMM TB activation IL4	BMM_TB_activation_IL4	Mouse	Activation
3746-172G5	macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb	 006hr	360	mins	 biol_rep3	CNhs14260	BMM TB activation IL4	BMM_TB_activation_IL4	Mouse	Activation
3589-170C4	macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb	 006hr	360	mins	 biol_rep1	CNhs11486	BMM TB activation IL4-IL13	BMM_TB_activation_IL4-IL13	Mouse	Activation
3661-171C4	macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb	 006hr	360	mins	 biol_rep2	CNhs11564	BMM TB activation IL4-IL13	BMM_TB_activation_IL4-IL13	Mouse	Activation
3736-172F4	macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb	 006hr	360	mins	 biol_rep3	CNhs11652	BMM TB activation IL4-IL13	BMM_TB_activation_IL4-IL13	Mouse	Activation
3706-172C1	macrophage, TB infection, non-stimulated BMDM, without Mtb	 006hr	360	mins	 biol_rep3	CNhs11634	BMM TB infection control	BMM_TB_infection_control	Mouse	Activation
13373-143G7	Tracheal epithelial cells, differentiation to ciliated epithelial cells	 008hr	480	mins	 biol_rep1	CNhs13745	Tracheal to ciliated epithelium	Tracheal_to_ciliated_epithelium	Mouse	Activation
